업종,주소,주선인,성공여부,대분류
소프트웨어 개발 및 공급업,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층,교보증권㈜,심사승인,정보통신업
보험 및 연금관련 서비스업,서울특별시 성동구 아차산로 33,한국투자증권㈜,심사승인,금융 및 보험업
보험 및 연금관련 서비스업,서울특별시 성동구 성수이로7길 27 서울숲코오롱디지털타워 2층,한국투자증권㈜,심사철회,금융 및 보험업
보험 및 연금관련 서비스업,서울특별시 성동구 성수이로7길 27 서울숲코오롱디지털타워,한국투자증권㈜,심사철회,금융 및 보험업
의약품 제조업,서울특별시 성동구 성수이로26길 28 우일벤처빌딩 4층,미래에셋증권 주식회사,심사철회,제조업3
의약품 제조업,"서울특별시 성동구 성수이로26길 28 (성수동2가, 우일벤처타운) 4층",미래에셋증권 주식회사,심사승인,제조업3
특수 목적용 기계 제조업,"서울특별시 성동구 성수이로22길 37, 14층 1405호~1407호(성수동2가, 아크밸리지식산업센터)",엔에이치투자증권주식회사,심사승인,제조업4
"영화, 비디오물, 방송프로그램 제작 및 배급업","서울특별시 성동구 성수이로20길 16, 8층",대신증권㈜,심사철회,정보통신업
소프트웨어 개발 및 공급업,서울특별시 성동구 성수이로 87,키움증권㈜,심사승인,정보통신업
기타 정보 서비스업,"서울특별시 성동구 뚝섬로1길 63, 12층(성수동1가, 영창디지털타워)","대신증권㈜,삼성증권㈜",심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 성동구 광나루로 172 3층,KB증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 서초구 효령로55길 23 3~5층,한국투자증권㈜,심사승인,정보통신업
가전제품 및 정보통신장비 소매업,서울특별시 서초구 효령로46길 97,미래에셋증권 주식회사,심사철회,도매 및 소매업
소프트웨어 개발 및 공급업,서울특별시 서초구 효령로 39,키움증권㈜,심사승인,정보통신업
일반 교습 학원,서울특별시 서초구 효령로 321,엔에이치투자증권주식회사,심사승인,교육서비스업
종합 소매업,서울특별시 서초구 잠원로 51,"한국투자증권㈜,KB증권㈜",심사철회,도매 및 소매업
종합 소매업,서울특별시 서초구 잠원로 51,"한국투자증권㈜,KB증권㈜",심사철회,도매 및 소매업
소프트웨어 개발 및 공급업,"서울특별시 서초구 양재천로9길 1, 3층 (양재동, 용두빌딩)",케이비투자증권㈜,심사미승인,정보통신업
통신 및 방송 장비 제조업,서울특별시 서초구 서초중앙로8길 105 다부빌딩 4층,하나증권주식회사,심사철회,제조업2
금융 지원 서비스업,"서울특별시 서초구 서초중앙로 119, 12층",이베스트투자증권㈜,심사승인,금융 및 보험업
소프트웨어 개발 및 공급업,서울특별시 서초구 서초대로77길 55,"한국투자증권㈜,엔에이치투자증권주식회사,제이피모간증권회사 서울지점",심사중,정보통신업
부동산 임대 및 공급업,서울특별시 서초구 서초대로74길 4,"삼성증권㈜,한국투자증권㈜",심사승인,부동산업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서초구 서초대로74길 11,삼성증권㈜,심사승인,금융 및 보험업
전자부품 제조업,서울특별시 서초구 서초대로55길 3 애니빌딩 3층,하나증권주식회사,심사승인,제조업2
금융 지원 서비스업,"서울특별시 서초구 사평대로 112, 3층(반포동, 광천빌딩)",케이비투자증권㈜,심사승인,금융 및 보험업
의약품 제조업,서울특별시 서초구 사임당로1길 7 세현빌딩 1층,키움증권㈜,심사승인,제조업3
기타 화학제품 제조업,서울특별시 서초구 방배로 180 토니모리빌딩,미래에셋증권 주식회사,심사승인,제조업3
건물설비 설치 공사업,서울특별시 서초구 방배로 166 한승빌딩 3층,신영증권㈜,심사승인,건 설 업
소프트웨어 개발 및 공급업,서울특별시 서초구 방배로 132 장산빌딩 6층,삼성증권㈜,심사미승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 서초구 반포대로28길 20 2층,한국투자증권㈜,심사승인,정보통신업
자연과학 및 공학 연구개발업,"서울특별시 서초구 반포대로 222, 서울성모병원 별관 7층","대신증권㈜,KB증권㈜",심사승인,"전문, 과학 및 기술 서비스업"
의료용품 및 기타 의약 관련제품 제조업,서울특별시 서초구 바우뫼로27길 7-21,IBK투자증권㈜,심사승인,제조업3
자연과학 및 공학 연구개발업,"서울특별시 서초구 명달로 92, 보림빌딩",삼성증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,서울특별시 서초구 마방로 8 봄날아침빌딩 6층,한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의약품 제조업,서울특별시 서초구 동산로12길 9,"엔에이치투자증권주식회사,삼성증권㈜",심사승인,제조업3
광고업,서울특별시 서초구 남부순환로347길 101,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
반도체 제조업,"서울특별시 서초구 남부순환로 2351, 아리랑타워",키움증권㈜,심사승인,제조업1
기타 운송관련 서비스업,서울특별시 서초구 강남대로41길 12,IBK투자증권㈜,심사철회,운수 및 창고업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","서울특별시 서초구 강남대로 507, 6층(반포동, 신태양빌딩)","미래에셋증권 주식회사,삼성증권㈜",심사승인,정보통신업
"영화, 비디오물, 방송프로그램 제작 및 배급업","서울특별시 서초구 강남대로 479 신논현타워, 12층, 13층, 14층",미래에셋증권 주식회사,심사승인,정보통신업
부동산 임대 및 공급업,서울특별시 서초구 강남대로 465,삼성증권㈜,심사승인,부동산업
소프트웨어 개발 및 공급업,"서울특별시 서초구 강남대로 327 대륭서초타워 6,7층",한국투자증권㈜,심사승인,정보통신업
금융 지원 서비스업,"서울특별시 서대문구 충정로 50, 5층(충정로3가, 골든브릿지빌딩)",㈜상상인증권,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 서대문구 충정로 50, 5층(충정로3가, 골든브릿지빌딩)",㈜상상인증권,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 서대문구 충정로 50(충정로3가, 골든브릿지빌딩)",㈜상상인증권,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서대문구 충정로 50 골든브릿지빌딩 4층,㈜상상인증권,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 서대문구 충정로 50 골든브릿지빌딩 4층,㈜상상인증권,심사승인,금융 및 보험업
기타 생활용품 소매업,서울특별시 마포구 토정로 115,DB금융투자주식회사,심사승인,도매 및 소매업
"영화, 비디오물, 방송프로그램 제작 및 배급업",서울특별시 마포구 잔다리로3길 20,한국투자증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 마포구 월드컵북로 396 연구개발타워 16층,엔에이치투자증권주식회사,심사철회,정보통신업
무점포 소매업,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어,미래에셋증권 주식회사,심사승인,도매 및 소매업
"영화, 비디오물, 방송프로그램 제작 및 배급업",서울특별시 마포구 월드컵북로 361 1111호,엔에이치투자증권주식회사,심사승인,정보통신업
"서적, 잡지 및 기타 인쇄물 출판업",서울특별시 마포구 양화로 45 메세나폴리스 세아타워 16층,미래에셋증권 주식회사,심사승인,정보통신업
"서적, 잡지 및 기타 인쇄물 출판업",서울특별시 마포구 양화로 45 메세나폴리스 세아타워 16층,미래에셋증권 주식회사,심사승인,정보통신업
"영화, 비디오물, 방송프로그램 제작 및 배급업","서울특별시 마포구 양화로 176, 4층(동교동)",신영증권㈜,심사중,정보통신업
소프트웨어 개발 및 공급업,서울특별시 마포구 성암로 189 1201호(상암동 중소기업디엠씨타워),"엔에이치투자증권주식회사,KB증권㈜",심사승인,정보통신업
자연과학 및 공학 연구개발업,"서울특별시 마포구 새창로 11 공덕빌딩 15층, 16층 (도화동)",미래에셋증권 주식회사,심사중,"전문, 과학 및 기술 서비스업"
"영화, 비디오물, 방송프로그램 제작 및 배급업",서울특별시 마포구 상암산로 76,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 마포구 상암동 1605 누리꿈스퀘어 비즈니스센타 17층,삼성증권㈜,심사승인,정보통신업
