업종,주소,주선인,성공여부,대분류
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 의사당대로 82,하나증권주식회사,심사승인,금융 및 보험업
소프트웨어 개발 및 공급업,"서울특별시 영등포구 은행로 37, 5층",신한투자증권 주식회사,심사승인,정보통신업
기타 정보 서비스업,서울특별시 영등포구 은행로 17,대신증권㈜,심사승인,정보통신업
전자부품 제조업,"서울특별시 영등포구 영등포로5길 19, 311호",케이프투자증권주식회사,심사승인,제조업2
금융 지원 서비스업,"서울특별시 영등포구 여의대방로67길 10, 405호",KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한투자증권타워,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한투자증권타워,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자타워,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자타워,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자타워,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자빌딩 4층,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자 4층,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70 신한금융투자 4층,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70,신한투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 70,신한투자증권 주식회사,심사승인,금융 및 보험업
기타 금융업,"서울특별시 영등포구 여의대로 66, 4층",다올투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 66, 4층",다올투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 66,다올투자증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 66,하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60, 9층(여의도동)",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60, 8층",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60, 8층",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60(여의도동, 8층)",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60 (여의도동, 9층)",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 60 (여의도동, 8층)",엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 60,엔에이치투자증권주식회사,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 여의대로 56(여의도동),한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의대로 56 (여의도동, 한화투자증권빌딩)",한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 56,한화투자증권㈜,심사승인,금융 및 보험업
광고업,서울특별시 영등포구 여의대로 24 전국경제인연합회관 45층,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,"서울특별시 영등포구 여의대로 14, 4층(여의도동)",이베스트투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 14 4층(여의도동),이베스트투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 14 4층,이베스트투자증권㈜,심사승인,금융 및 보험업
일차전지 및 축전지 제조업,"서울특별시 영등포구 여의대로 108, 타워 1","KB증권㈜,모건스탠리 인터내셔날증권회사 서울지점",심사승인,제조업1
금융 지원 서비스업,서울특별시 영등포구 여의대로 108(여의도동),엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108 파크원타워1 48층,㈜상상인증권,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108 파크원 타워2 8층,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의대로 108,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 21,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 21,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 21,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의나루로4길 18(여의도동, 키움파이낸스스퀘어빌딩)",키움증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 18 키움파이낸스스퀘어,키움증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 18,키움증권㈜,심사중,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 18,키움증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 18,키움증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 여의나루로4길 18,키움증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로4길 18,키움증권㈜,심사승인,금융 및 보험업
부동산 임대 및 공급업,"서울특별시 영등포구 여의나루로 67, 701호, 702호","씨티그룹글로벌마켓증권㈜,골드만삭스증권 서울지점",심사승인,부동산업
금융 지원 서비스업,"서울특별시 영등포구 여의나루로 61(여의도동, 하이투자증권빌딩)",하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 영등포구 여의나루로 61(여의도동, 하이투자증권빌딩)",하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 61 하이투자증권빌딩 14층,하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 61 하이투자증권빌딩 14층,하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 61 하이투자증권빌딩 14층,하이투자증권㈜,심사승인,금융 및 보험업
기타 전문 서비스업,서울특별시 영등포구 여의나루로 61 11층,KB증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,서울특별시 영등포구 여의나루로 61,하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 60,이베스트투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 50,KB증권㈜,심사중,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 50,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 50,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 여의나루로 50,KB증권㈜,심사승인,금융 및 보험업
